title,content,source,category,priority,url,image_url,date,author,language,real_summary
"רעידת אדמה 4.2: הבניינים רועדים, הפוליטיקאים לא","מומחים: 'הרעידה הייתה פחות הרסנית מהדיון האחרון בכנסת'. תושבים דיווחו שהרגישו יציבות רבה יותר בזמן הרעידה מאשר בזמן צפייה בחדשות","וואלה! סאטירה",חדשות,10,https://www.ynet.co.il,https://ynet-pic1.yit.co.il/picserver5/crop_images/2024/01/15/rkJD9vK3T/rkJD9vK3T_0_0_1000_667_0_large.jpg,2024-01-15,יוסי ציניקן,he,"רעידת אדמה בעוצמה 4.2 הורגשה הבוקר בצפון הארץ. אין דיווחים על נפגעים או נזקים"
"משרד האוצר: 'המצב הכלכלי מצוין' - האזרחים: 'גם לנו יש חוש הומור'","שר האוצר הכריז שהכלכלה פורחת. בינתיים, האזרחים מחפשים את הפרחים מתחת לחשבונות החשמל","כלכליסט צוחק",כלכלה,9,https://www.calcalist.co.il,https://pic1.calcalist.co.il/picserver3/crop_images/2024/01/15/S1AbcdEf/S1AbcdEf_0_0_1000_667_0_large.jpg,2024-01-15,דנה כספית,he,"משרד האוצר פרסם דוח כלכלי המצביע על צמיחה של 3.5% ברבעון האחרון"
"בלעדי: נהגי אוטובוס מאיימים לנהוג בנימוס","ההסתדרות: 'זה צעד קיצוני מדי'. הנוסעים בהלם: 'אנחנו לא מוכנים לשינוי כזה'","רוטר בדיחות",תחבורה,8,https://rotter.net,,2024-01-15,משה תחבורני,he,"נהגי האוטובוסים בירושלים פתחו בשביתת האטה במחאה על תנאי העבודה"
"צה״ל מכחיש: 'לא איבדנו טנק, הוא פשוט יצא לחופשה'","דובר צה״ל: 'הטנק החליט שהוא צריך break. גם לכלי רכב משוריינים מגיע זמן איכות'","במחנה הקומי",ביטחון,10,https://www.maariv.co.il,https://www.makorrishon.co.il/wp-content/uploads/2024/01/tank-exercise.jpg,2024-01-15,גל צהלול,he,"צה״ל השלים תרגיל גדול בצפון הארץ בהשתתפות כוחות שריון וחיל האוויר"
"מזג האוויר: גשם צפוי - הממשלה מבטיחה מטריות","השר להגנת הסביבה: 'אנחנו שוקלים להעביר חוק שיאסור על גשם בימי עבודה'","חדשות סרקסטיות",מזג אוויר,7,https://www.ynet.co.il,https://ynet-pic1.yit.co.il/picserver5/crop_images/2024/01/15/HJKLmno99/HJKLmno99_0_0_1000_667_0_large.jpg,2024-01-15,ענן גשום,he,"גשם כבד צפוי להגיע לישראל בסוף השבוע. התרעות שיטפונות באזורים נמוכים"
"הייטק ישראלי: סטארטאפ גייס 100 מיליון דולר למוצר שעוד לא קיים","המשקיעים: 'אנחנו מאמינים בחזון'. החברה: 'גם אנחנו מנסים להבין מה החזון'","גיקטיים",טכנולוגיה,9,https://www.geektime.co.il,,2024-01-15,רון בועה,he,"חברת סייבר ישראלית גייסה 100 מיליון דולר בסבב גיוס בהובלת קרן אמריקאית"
"ראש הממשלה: 'הכל בשליטה' - האזרחים מחפשים את השלט","סקר חדש: 87% מהישראלים חושבים שהשלט של המזגן יותר אמין מהממשלה","מעריב צוחק",פוליטיקה,10,https://www.maariv.co.il,https://www.maariv.co.il/HttpHandlers/ShowImage.ashx?id=1234567,2024-01-15,אבי פוליטיקאי,he,"ראש הממשלה נשא נאום בכנסת וקרא לאחדות לאומית בתקופה מאתגרת"
"תל אביב: חניה חינם למי שיוכיח שהוא לא מתל אביב","ראש העיר: 'אנחנו רוצים לעודד גיוון'. תושבי העיר: 'אבל אנחנו באמת לא מכאן, אנחנו רק גרים פה 20 שנה'","תל אביב הא!",עירוני,6,https://www.ynet.co.il,https://ynet-pic1.yit.co.il/picserver5/crop_images/2024/01/15/ryABCDef/ryABCDef_0_0_1000_667_0_large.jpg,2024-01-15,רון תל אביבי,he,"עיריית תל אביב הכריזה על תוכנית חדשה להקלות בחניה במרכז העיר"
"פעילות רוסית חריגה בכור: 'זה סתם תרגיל אביב'","מומחים: 'הצבא הרוסי מתאמן על לא כלום'. נאט״ו: 'אנחנו עוקבים מהספה'","ביטחון בינלאומי קומי",בינלאומי,8,https://www.ynet.co.il,https://images.unsplash.com/photo-1567427017947-545c5f8d16ad?w=1920&h=1080,2024-01-15,ולדימיר איוונוב,he,"נאט״ו מעקב אחר תרגילים צבאיים רוסיים בקרבת הגבול עם פולין"
"ארה״ב: הבחירות יהיו הוגנות - המפסיד: 'לא אם אני אפסיד'","שני המועמדים מבטיחים לקבל את התוצאות 'רק אם ינצחו'","אמריקה משועשעת",בינלאומי,9,https://www.maariv.co.il,,2024-01-15,ג׳ון סמית׳,he,"הקמפיין לנשיאות ארה״ב 2024 נכנס להילוך גבוה עם האשמות הדדיות"